Why is it difficult for historians to study early human societies?,Early History,Before the advent of writing* historians had fewer and less detailed resources to work with,There are no surviving artifacts or fossils from that time,Written records from that time are indecipherable or meaningless,,,Before the advent of writing* historians had fewer and less detailed resources to work with
What's the difference between carbon dating and stratigraphic dating?,Early History,Stratigraphic dating is a type of radioactive dating that only applies to matter which was once living,Stratigraphic dating uses the content of the fossils or artifacts themselves to place them in time; carbon dating relies on the layers of earth surrounding fossils or artifacts,Carbon dating places fossils or artifacts in time by measuring their radiocarbon content; stratigraphic dating relies on the layers of earth surrounding those fossils or artifacts,,,Carbon dating places fossils or artifacts in time by measuring their radiocarbon content; stratigraphic dating relies on the layers of earth surrounding those fossils or artifacts
Artifacts are best described as,Early History,naturally occurring objects,objects made by humans,objects made with iron tools,,,objects made by humans
Why would early agriculturalists slash forests and brush* wait for them to dry* and then light them on fire?,Early History,it created fields for cultivation* and the ash fertilized the soil,It cleared fields of vision to watch for attacks,they had no way to transport the trees and brush they cleared,,,it created fields for cultivation* and the ash fertilized the soil
What's the difference between pastoralism and agriculture?,Early History,pastoralism is the practice of raising and herding animals; agriculture is the practice of cultivating and harvesting plants,pastoralism is the practice of cultivating and harvesting plants; agriculture is the practice of raising and herding animals,pastoralism is the practice of hunting and foraging for animals and plants; agriculture is the practice of cultivating and harvesting plants,,,pastoralism is the practice of raising and herding animals; agriculture is the practice of cultivating and harvesting plants
"Hieroglyphs* or ""priestly markings""* are",Ancient Egypt,the high-water mark of the Nile's floodplain,a ritual application of the nitre used to embalm a mummy,a written form of the Egyptian language.,,,a written form of the Egyptian language.
Which best explains the purpose of an Old Kingdom pyramid?,Ancient Egypt,It was created as a lookout point so that military leaders could be aware of invaders,It was intended for grain storage* to demonstrate a king's generosity and wisdom,It housed the body of a dead Egyptian king and his retainers,,,It housed the body of a dead Egyptian king and his retainers
Which is an example of divine kingship* as practiced by the rulers of Egypt?,Ancient Egypt,Claiming the right to rule under the Mandate of Heaven,A king or pharaoh associating themselves with a god like Amun-Ra or Horus,The children of kings were thought to inherit divine qualities that were stronger than those of their parents,,,A king or pharaoh associating themselves with a god like Amun-Ra or Horus
What was unique about the way the Nile River flooded in ancient Egypt?,Ancient Egypt,The Nile flooded every several weeks,It was so regular and predictable that the Egyptian seasons were based around it,Flooding made the soil next to the Nile rich and fertile,,,It was so regular and predictable that the Egyptian seasons were based around it
During the Middle Kingdom* Egyptian rulers maintained standing armies and built fortifications. This shows,Ancient Egypt,Egyptian citizens’ sense of duty to serve their empire,a shift away from Egyptian leaders wanting regional governments to flourish,the Egyptian government’s ability to consolidate power and control resources,,,the Egyptian government’s ability to consolidate power and control resources
Which of the following best explains the role of monumental architecture* such as the colossal heads and the pyramid at La Venta* in Olmec society?,Ancient Mesoamerica,They were probably used to both pay tribute to political leaders and perform religious rites,They were probably artwork and architecture with no deeper meaning or purpose,They were probably used to frighten and warn their enemies,,,They were probably used to both pay tribute to political leaders and perform religious rites
Olmec trading,Ancient Mesoamerica,only dealt with agricultural products,reached across much of Mesoamerica,was confined to the cities of San Lorenzo and La Venta,,,reached across much of Mesoamerica
Which of the following best explains why the Olmec civilization was forced to leave its homeland?,Ancient Mesoamerica,Economic factors* such as reduced trade,Environmental changes* such as silting of rivers* or volcanic activity,Political problems* such as the collapse of Olmec government,,,Environmental changes* such as silting of rivers* or volcanic activity
So far* all the evidence we have for Olmec civilization come from,Ancient Mesoamerica,oral histories,archaeological sources,written sources,,,archaeological sources
The food production practices of the Olmec can best be described as,Ancient Mesoamerica,horticulture,pastoralism,intensive agriculture,,,horticulture
